Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,No,Travel_Rarely,666,Research & Development,8,3,Medical,1,25,4,Female,83,4,1,Manager,4,Married,3397,12604,1,Y,No,11,3,1,80,0,6,6,3,2,2,0,0
28,Yes,Travel_Rarely,1446,Research & Development,1,4,Life Sciences,1,26,4,Female,85,2,4,Research Scientist,2,Single,15895,19292,8,Y,No,11,3,3,80,0,4,1,3,3,0,3,3
25,Yes,Travel_Rarely,901,Research & Development,17,3,Medical,1,27,1,Female,86,3,3,Manufacturing Director,2,Married,5317,15502,4,Y,No,24,3,4,80,0,0,3,1,0,0,0,0
41,No,Travel_Rarely,1474,Research & Development,3,2,Medical,1,28,4,Male,91,2,2,Laboratory Technician,3,Single,5727,17056,3,Y,No,13,4,3,80,2,15,1,3,11,11,2,0
36,No,Travel_Frequently,648,Research & Development,1,4,Medical,1,29,1,Female,49,4,3,Laboratory Technician,4,Married,8296,13965,3,Y,No,14,3,1,80,3,16,0,4,0,0,0,0
42,No,Travel_Rarely,1076,Research & Development,15,4,Other,1,30,3,Male,77,2,2,Laboratory Technician,1,Divorced,5967,17500,0,Y,No,12,3,3,80,2,21,2,4,6,1,4,6
47,No,Travel_Rarely,1425,Research & Development,11,4,Technical Degree,1,31,1,Male,41,4,3,Research Director,3,Married,9293,21295,6,Y,No,18,3,1,80,0,23,1,3,6,3,0,0
34,Yes,Travel_Rarely,423,Sales,8,3,Other,1,32,1,Female,44,3,1,Sales Representative,1,Divorced,3252,2869,6,Y,No,15,3,3,80,1,11,2,2,5,2,3,2
32,No,Travel_Rarely,1072,Research & Development,3,3,Medical,1,33,1,Female,90,3,1,Research Director,1,Single,2001,21516,3,Y,No,15,3,1,80,0,11,2,3,0,0,0,0
49,No,Non-Travel,1099,Sales,1,3,Other,1,34,4,Male,86,2,4,Manager,2,Single,15196,10548,5,Y,No,12,4,4,80,0,27,0,3,8,0,4,4
37,No,Travel_Rarely,1314,Research & Development,1,1,Life Sciences,1,35,3,Female,80,3,3,Manager,3,Single,8106,20591,0,Y,No,17,4,1,80,0,11,6,3,2,1,0,2
36,Yes,Travel_Frequently,330,Sales,4,3,Marketing,1,36,3,Male,57,3,4,Sales Representative,2,Single,16291,26237,2,Y,Yes,15,3,4,80,2,10,1,2,1,1,0,1
40,No,Travel_Frequently,844,Research & Development,1,1,Other,1,37,3,Male,95,3,3,Research Director,3,Married,8390,3073,1,Y,No,15,4,1,80,1,17,3,1,0,0,0,0
30,No,Non-Travel,126,Sales,2,3,Marketing,1,38,3,Male,47,3,3,Manager,4,Single,8421,22786,6,Y,No,13,3,3,80,0,8,2,4,8,6,0,7
24,No,Travel_Rarely,864,Research & Development,6,3,Other,1,39,4,Male,61,3,3,Research Scientist,3,Married,11884,2459,6,Y,Yes,11,3,3,80,1,4,2,4,4,0,2,3
24,No,Travel_Rarely,913,Research & Development,5,3,Technical Degree,1,40,3,Male,36,2,2,Manufacturing Director,3,Single,5254,19966,3,Y,No,14,3,1,80,2,3,2,3,2,2,2,1
25,No,Travel_Rarely,973,Research & Development,13,3,Other,1,41,1,Male,61,3,1,Laboratory Technician,4,Divorced,2460,16703,1,Y,No,20,3,3,80,3,3,3,3,0,0,0,0
22,No,Travel_Rarely,597,Sales,17,2,Other,1,42,2,Female,34,2,2,Manager,3,Single,4169,15021,4,Y,No,16,3,3,80,1,0,6,3,0,0,0,0
44,No,Travel_Rarely,952,Research & Development,1,2,Life Sciences,1,43,3,Male,65,3,4,Manager,3,Single,14533,6061,2,Y,No,16,3,3,80,0,22,5,3,0,0,0,0
33,No,Travel_Rarely,949,Sales,21,3,Other,1,44,4,Female,39,3,2,Manager,2,Divorced,3356,24465,2,Y,No,13,3,1,80,2,10,2,1,8,2,6,7
36,Yes,Travel_Rarely,350,Research & Development,2,3,Technical Degree,1,45,2,Male,78,3,1,Research Director,1,Married,2442,17486,4,Y,No,11,3,4,80,3,15,3,3,5,1,0,1
26,No,Travel_Rarely,473,Research & Development,3,2,Life Sciences,1,46,4,Female,40,3,3,Research Director,4,Single,8484,5261,4,Y,Yes,14,4,3,80,0,8,3,3,8,2,2,7
36,Yes,Travel_Rarely,151,Research & Development,10,3,Technical Degree,1,47,4,Male,65,4,3,Research Director,2,Single,8311,11747,3,Y,Yes,12,3,4,80,2,14,1,1,3,3,3,3
34,Yes,Travel_Rarely,963,Sales,1,3,Marketing,1,48,3,Male,40,4,3,Sales Executive,2,Single,8562,3183,2,Y,Yes,17,3,4,80,1,13,4,3,0,0,0,0
52,No,Travel_Rarely,580,Research & Development,1,4,Technical Degree,1,49,2,Male,58,3,3,Manager,4,Single,6669,20976,1,Y,No,17,4,2,80,0,29,3,3,6,4,0,1
23,Yes,Travel_Rarely,1110,Research & Development,16,5,Life Sciences,1,50,4,Male,92,2,1,Research Director,4,Single,2388,16863,3,Y,Yes,20,3,4,80,1,0,3,3,0,0,0,0
37,No,Travel_Rarely,937,Research & Development,3,3,Medical,1,51,4,Female,81,3,4,Manager,2,Married,13299,26957,2,Y,Yes,11,3,2,80,0,14,4,4,13,8,1,8
35,No,Travel_Rarely,1121,Research & Development,1,4,Other,1,52,2,Male,83,3,4,Research Director,2,Married,6522,6051,1,Y,Yes,11,3,3,80,2,12,0,3,4,0,2,3
25,No,Travel_Rarely,1334,Sales,2,4,Marketing,1,53,4,Male,57,3,1,Sales Representative,2,Married,2264,22712,2,Y,No,12,3,3,80,1,3,4,3,3,2,1,3
40,No,Travel_Rarely,1201,Sales,15,3,Life Sciences,1,54,1,Male,37,2,2,Sales Representative,2,Single,4411,10959,4,Y,No,20,3,3,80,1,20,2,3,19,15,1,6
32,No,Travel_Rarely,375,Research & Development,11,2,Technical Degree,1,55,4,Male,92,3,2,Manufacturing Director,4,Single,6182,15049,2,Y,No,19,3,1,80,0,7,2,3,2,1,0,1
40,No,Travel_Rarely,572,Research & Development,13,2,Life Sciences,1,56,4,Female,50,3,2,Research Director,2,Single,5474,24961,2,Y,No,15,3,3,80,2,17,4,3,0,0,0,0
32,No,Travel_Rarely,403,Research & Development,9,2,Technical Degree,1,57,3,Male,55,3,3,Manufacturing Director,1,Single,9827,3800,2,Y,Yes,13,3,4,80,0,9,3,3,7,3,2,7
38,No,Travel_Rarely,495,Sales,26,4,Life Sciences,1,58,4,Male,91,3,3,Sales Representative,4,Divorced,9859,4897,0,Y,Yes,18,3,4,80,2,14,3,2,6,3,0,1
30,No,Travel_Rarely,1260,Research & Development,1,1,Other,1,59,3,Male,91,3,2,Manager,4,Divorced,5448,16333,6,Y,Yes,14,3,3,80,3,9,3,1,3,1,0,1
35,No,Travel_Rarely,112,Research & Development,2,2,Technical Degree,1,60,3,Male,45,4,1,Laboratory Technician,4,Single,2696,3008,3,Y,No,13,3,1,80,2,13,1,2,0,0,0,0
26,No,Non-Travel,1031,Research & Development,10,4,Life Sciences,1,61,4,Male,86,3,3,Research Director,4,Married,7923,18597,3,Y,No,16,3,4,80,1,5,5,3,0,0,0,0
35,Yes,Travel_Rarely,859,Research & Development,3,4,Life Sciences,1,62,3,Female,90,3,1,Research Director,1,Divorced,2427,16795,2,Y,No,14,3,1,80,1,12,0,3,1,0,1,1
48,No,Travel_Rarely,883,Research & Development,15,3,Other,1,63,4,Male,37,3,2,Laboratory Technician,3,Married,5454,6262,1,Y,No,12,3,3,80,0,28,3,3,17,4,7,9
36,No,Travel_Rarely,1092,Sales,2,4,Other,1,64,1,Male,42,3,3,Manager,4,Married,10125,14731,3,Y,No,18,3,4,80,1,13,4,2,5,1,3,3
33,No,Travel_Rarely,1472,Research & Development,16,4,Medical,1,65,4,Male,63,3,3,Healthcare Representative,3,Divorced,8309,23600,4,Y,Yes,19,4,3,80,0,8,6,4,4,1,0,1
33,No,Travel_Frequently,121,Research & Development,2,2,Technical Degree,1,66,1,Female,81,4,2,Manufacturing Director,4,Married,4698,22868,4,Y,No,11,3,1,80,0,12,1,4,6,0,2,5
35,Yes,Travel_Rarely,1400,Sales,2,2,Marketing,1,67,4,Female,58,3,2,Manager,3,Single,6017,24660,4,Y,Yes,11,3,1,80,2,11,5,3,1,0,0,1
31,Yes,Travel_Rarely,916,Sales,12,4,Marketing,1,68,1,Female,62,3,1,Sales Representative,2,Single,3246,10570,2,Y,Yes,17,3,2,80,1,9,6,2,9,0,5,8
36,Yes,Travel_Frequently,106,Research & Development,5,1,Life Sciences,1,69,1,Male,90,3,1,Research Scientist,1,Married,3440,6726,5,Y,No,15,3,4,80,1,15,2,3,4,2,2,1
41,No,Travel_Rarely,1114,Research & Development,10,3,Life Sciences,1,70,2,Female,91,3,3,Research Director,2,Divorced,8110,3131,1,Y,No,11,3,2,80,1,19,2,3,2,2,1,0
41,No,Travel_Rarely,944,Research & Development,2,2,Technical Degree,1,71,3,Female,63,4,5,Research Director,4,Divorced,19539,3581,5,Y,No,15,4,2,80,0,19,5,3,5,3,5,1
22,Yes,Travel_Rarely,1446,Research & Development,2,4,Life Sciences,1,72,3,Female,73,3,2,Laboratory Technician,2,Single,5626,25222,5,Y,Yes,14,3,4,80,3,0,4,2,0,0,0,0
40,No,Travel_Rarely,1033,Sales,5,4,Technical Degree,1,73,3,Female,41,2,3,Manager,4,Married,9601,16167,3,Y,No,13,3,2,80,0,15,2,3,7,3,0,0
36,No,Travel_Rarely,1285,Sales,29,3,Life Sciences,1,74,1,Female,93,3,2,Sales Executive,3,Single,3477,23944,2,Y,No,11,3,4,80,2,17,3,3,17,0,3,13
29,Yes,Travel_Rarely,744,Research & Development,8,3,Other,1,75,4,Male,36,2,1,Laboratory Technician,2,Married,3141,22684,3,Y,No,23,3,1,80,0,6,3,3,0,0,0,0
42,No,Travel_Rarely,620,Sales,3,4,Medical,1,76,3,Female,93,3,3,Sales Representative,2,Married,7789,22184,1,Y,No,16,3,4,80,0,20,3,2,20,15,0,12
46,No,Non-Travel,1229,Research & Development,9,4,Technical Degree,1,77,3,Female,43,1,4,Research Scientist,4,Married,12473,10694,5,Y,No,11,3,3,80,2,25,3,3,2,2,2,2
32,Yes,Travel_Frequently,900,Research & Development,8,4,Technical Degree,1,78,2,Male,88,3,1,Manufacturing Director,1,Single,3144,24660,2,Y,No,12,3,4,80,1,7,4,3,0,0,0,0
28,No,Non-Travel,1132,Sales,1,3,Technical Degree,1,79,3,Male,79,1,1,Manager,2,Married,2683,12622,2,Y,No,13,3,4,80,1,4,3,2,2,1,0,0
46,No,Travel_Rarely,385,Research & Development,1,4,Technical Degree,1,80,4,Male,71,2,3,Research Scientist,3,Divorced,9343,19555,3,Y,Yes,14,3,3,80,1,24,4,3,5,2,0,3
32,No,Travel_Frequently,480,Research & Development,10,1,Life Sciences,1,81,3,Male,47,3,3,Research Scientist,4,Single,7300,3651,2,Y,No,18,3,3,80,0,8,5,2,3,2,1,2
39,No,Travel_Rarely,800,Research & Development,6,2,Life Sciences,1,82,4,Male,84,3,3,Manufacturing Director,4,Divorced,7893,17008,0,Y,No,17,3,4,80,1,19,1,3,1,1,1,0
24,Yes,Travel_Frequently,597,Sales,2,4,Marketing,1,83,1,Male,65,1,1,Manager,1,Divorced,2736,25532,3,Y,No,11,3,4,80,0,2,5,3,2,0,0,1
47,No,Travel_Rarely,570,Sales,2,2,Medical,1,84,3,Female,82,3,5,Sales Executive,4,Single,15784,16337,3,Y,No,15,3,1,80,2,23,3,3,21,9,2,19
40,No,Travel_Frequently,1076,Human Resources,2,4,Human Resources,1,85,2,Female,82,3,3,Human Resources,1,Married,9035,13676,4,Y,No,21,3,2,80,0,19,0,3,10,2,0,3
30,No,Travel_Rarely,590,Human Resources,9,3,Life Sciences,1,86,2,Male,95,3,2,Manager,4,Married,4776,11538,1,Y,No,11,3,1,80,1,7,0,2,7,6,0,5
38,No,Travel_Rarely,764,Research & Development,17,3,Medical,1,87,2,Female,80,2,3,Healthcare Representative,4,Married,6920,8841,3,Y,No,19,3,4,80,1,16,1,3,1,0,0,0
42,No,Non-Travel,405,Sales,12,4,Technical Degree,1,88,4,Female,62,3,3,Sales Representative,4,Married,7518,8669,3,Y,Yes,17,3,4,80,3,20,4,3,2,2,2,1
36,No,Travel_Rarely,1166,Research & Development,3,3,Life Sciences,1,89,3,Male,32,3,2,Research Director,4,Divorced,5782,22942,6,Y,No,11,4,3,80,3,16,4,1,4,2,1,4
37,Yes,Travel_Rarely,939,Research & Development,8,2,Other,1,90,4,Female,42,3,1,Laboratory Technician,3,Married,3003,19655,0,Y,Yes,11,3,2,80,0,12,6,1,3,2,3,0
42,Yes,Travel_Frequently,1461,Sales,29,1,Medical,1,91,1,Male,62,2,2,Manager,1,Single,5436,23198,3,Y,No,12,3,4,80,0,21,1,3,0,0,0,0
33,No,Travel_Rarely,580,Sales,1,2,Technical Degree,1,92,2,Male,90,1,2,Manager,4,Married,4844,5952,2,Y,No,14,3,3,80,1,11,2,3,0,0,0,0
50,No,Travel_Rarely,1061,Research & Development,5,3,Technical Degree,1,93,3,Male,76,3,3,Research Scientist,4,Divorced,9642,5008,6,Y,No,14,4,3,80,1,31,6,3,8,1,2,3
48,No,Travel_Rarely,831,Sales,29,1,Medical,1,94,3,Female,71,3,2,Sales Representative,1,Married,5326,20814,1,Y,No,15,4,4,80,1,22,2,3,4,3,0,1
35,No,Travel_Frequently,756,Research & Development,1,3,Other,1,95,3,Male,84,2,4,Research Director,3,Married,15204,5167,4,Y,No,18,3,3,80,0,10,4,3,4,1,3,4
29,Yes,Travel_Rarely,1014,Research & Development,2,3,Life Sciences,1,96,4,Female,43,4,2,Manager,3,Single,6331,9457,4,Y,Yes,13,3,4,80,0,10,3,3,4,2,1,1
22,No,Travel_Rarely,1243,Sales,11,4,Technical Degree,1,97,1,Male,82,3,2,Manager,4,Married,6009,3478,5,Y,No,13,3,2,80,2,0,1,3,0,0,0,0
45,No,Travel_Frequently,1019,Research & Development,8,4,Other,1,98,3,Male,92,2,3,Research Director,3,Married,8903,12044,1,Y,No,15,3,1,80,0,25,1,3,1,0,1,1
36,No,Travel_Rarely,959,Research & Development,1,3,Medical,1,99,3,Male,47,3,3,Laboratory Technician,4,Married,6173,16479,3,Y,No,11,3,3,80,0,13,1,3,2,2,2,1
32,No,Travel_Rarely,1100,Sales,1,3,Marketing,1,100,4,Female,34,1,2,Sales Representative,3,Married,5255,12495,1,Y,Yes,13,3,3,80,0,10,5,2,0,0,0,0
38,No,Travel_Rarely,1407,Sales,10,4,Marketing,1,101,2,Male,94,2,4,Sales Executive,3,Single,14359,17918,4,Y,Yes,17,3,1,80,1,15,5,2,4,2,2,2
48,No,Non-Travel,1023,Human Resources,4,4,Human Resources,1,102,3,Female,78,2,2,Manager,1,Divorced,5268,5092,3,Y,No,12,3,1,80,1,25,2,3,13,2,1,3
35,Yes,Travel_Frequently,1076,Sales,23,4,Other,1,103,2,Male,55,1,2,Sales Representative,1,Divorced,4171,16195,2,Y,No,11,3,2,80,0,11,1,1,0,0,0,0
40,No,Travel_Rarely,516,Sales,9,3,Marketing,1,104,4,Female,93,2,3,Sales Representative,4,Married,7503,15727,3,Y,Yes,12,3,3,80,1,16,4,2,6,2,1,0
39,No,Travel_Rarely,1478,Research & Development,3,4,Medical,1,105,3,Male,83,2,1,Manager,3,Single,3941,12911,1,Y,No,15,3,3,80,0,17,2,3,2,1,2,1
43,No,Travel_Rarely,272,Research & Development,8,2,Medical,1,106,3,Male,79,1,3,Manufacturing Director,1,Married,6717,4919,1,Y,No,19,3,3,80,1,22,6,3,22,4,1,9
44,No,Travel_Rarely,456,Research & Development,2,4,Other,1,107,3,Male,82,2,3,Laboratory Technician,2,Divorced,10495,4127,0,Y,No,14,3,4,80,2,25,4,1,12,4,0,5
42,No,Travel_Rarely,234,Sales,3,3,Technical Degree,1,108,4,Female,52,3,5,Sales Representative,4,Single,13874,4500,5,Y,No,16,3,4,80,1,18,3,3,0,0,0,0
46,No,Travel_Rarely,858,Sales,26,1,Other,1,109,4,Male,36,3,3,Sales Executive,3,Single,12408,3514,2,Y,No,17,3,3,80,1,22,3,2,0,0,0,0
33,Yes,Travel_Rarely,736,Research & Development,3,3,Life Sciences,1,110,4,Male,58,3,2,Research Director,3,Married,6534,25373,1,Y,No,11,3,3,80,0,9,2,3,1,0,1,1
59,No,Travel_Rarely,1127,Research & Development,3,2,Technical Degree,1,111,1,Female,44,3,3,Laboratory Technician,4,Married,6789,3552,3,Y,Yes,14,3,3,80,1,36,3,3,4,2,4,2
38,No,Travel_Frequently,913,Research & Development,28,2,Other,1,112,4,Female,95,2,2,Manager,3,Single,5608,18836,3,Y,No,11,3,3,80,1,10,1,1,3,3,3,0
48,No,Travel_Frequently,947,Research & Development,7,3,Medical,1,113,1,Female,45,3,3,Research Scientist,3,Married,8579,17675,3,Y,No,13,3,3,80,0,27,1,3,4,0,0,3
52,No,Travel_Rarely,1003,Research & Development,25,1,Technical Degree,1,114,4,Male,33,3,5,Research Director,3,Divorced,19083,25653,1,Y,Yes,18,3,3,80,0,27,2,3,9,2,0,1
41,No,Travel_Rarely,923,Sales,1,1,Medical,1,115,3,Female,37,1,3,Sales Representative,3,Single,6570,10362,5,Y,No,16,3,2,80,1,20,3,4,7,3,1,5
30,Yes,Travel_Frequently,708,Research & Development,29,1,Life Sciences,1,116,4,Female,38,3,2,Manager,2,Married,5676,12282,3,Y,No,13,3,3,80,0,11,2,2,2,0,2,2
38,No,Travel_Rarely,547,Research & Development,4,4,Life Sciences,1,117,3,Female,37,3,2,Healthcare Representative,4,Single,4905,5296,1,Y,No,11,3,2,80,0,15,2,2,4,0,0,3
56,No,Travel_Rarely,400,Sales,1,1,Marketing,1,118,4,Male,49,3,5,Manager,2,Married,18737,12063,2,Y,No,19,4,1,80,3,31,3,2,8,0,2,6
55,No,Travel_Frequently,1466,Sales,11,3,Marketing,1,119,4,Female,75,3,3,Sales Executive,2,Single,6435,25368,2,Y,No,11,3,2,80,1,32,3,2,1,1,1,1
33,No,Travel_Rarely,449,Research & Development,3,1,Other,1,120,1,Female,52,2,3,Research Scientist,4,Divorced,6985,22237,4,Y,No,13,3,4,80,2,10,3,3,10,3,3,9
46,No,Travel_Rarely,766,Research & Development,16,2,Technical Degree,1,121,1,Male,89,3,4,Manufacturing Director,3,Married,13677,11642,6,Y,No,11,4,1,80,1,23,2,4,0,0,0,0
32,No,Travel_Rarely,582,Sales,6,5,Technical Degree,1,122,3,Male,66,3,4,Manager,2,Single,10010,13068,2,Y,No,16,3,3,80,0,7,4,2,7,4,1,1
24,No,Non-Travel,1399,Research & Development,14,4,Other,1,123,4,Male,60,3,2,Healthcare Representative,3,Single,5339,5061,2,Y,No,19,3,4,80,1,1,2,1,1,0,0,1
29,No,Non-Travel,111,Human Resources,15,1,Life Sciences,1,124,4,Female,58,3,3,Manager,4,Married,7007,7940,2,Y,No,11,3,2,80,0,9,1,2,8,3,3,0
39,No,Travel_Rarely,296,Sales,1,4,Life Sciences,1,125,3,Female,60,3,3,Sales Executive,3,Single,11116,14119,0,Y,No,11,3,1,80,2,16,6,3,1,0,1,1
45,No,Travel_Rarely,968,Sales,9,3,Marketing,1,126,4,Male,63,3,4,Manager,3,Divorced,13577,14002,7,Y,Yes,16,3,4,80,1,25,5,3,7,5,2,3
48,No,Travel_Rarely,642,Research & Development,3,1,Medical,1,127,3,Female,35,2,2,Healthcare Representative,2,Single,3893,5759,1,Y,No,16,4,4,80,1,27,2,2,1,0,1,0
45,No,Travel_Rarely,694,Research & Development,5,2,Technical Degree,1,128,4,Female,53,3,3,Laboratory Technician,2,Single,8961,26041,4,Y,No,14,3,2,80,1,23,6,3,2,1,0,2
29,No,Travel_Rarely,389,Sales,9,2,Life Sciences,1,129,3,Male,30,3,1,Sales Representative,3,Divorced,2277,3071,2,Y,Yes,13,3,2,80,1,6,6,3,6,1,2,5
41,No,Travel_Rarely,883,Research & Development,1,2,Technical Degree,1,130,3,Male,90,4,2,Manufacturing Director,3,Married,5113,18703,2,Y,No,23,3,4,80,0,18,2,4,2,2,2,2
34,No,Travel_Rarely,220,Sales,5,2,Medical,1,131,4,Female,60,3,5,Manager,3,Married,16762,18489,5,Y,No,20,3,2,80,0,13,3,3,2,0,1,1
33,Yes,Travel_Rarely,1106,Sales,12,3,Medical,1,132,4,Male,68,2,3,Sales Representative,2,Divorced,5585,25598,4,Y,Yes,11,3,2,80,2,8,5,2,1,0,0,1
27,No,Travel_Rarely,1304,Sales,11,4,Life Sciences,1,133,3,Male,78,3,1,Sales Representative,2,Married,2913,2356,3,Y,Yes,18,3,1,80,1,8,2,3,2,2,0,0
33,No,Travel_Frequently,1338,Research & Development,4,3,Life Sciences,1,134,2,Male,36,4,2,Research Director,2,Single,6427,15501,6,Y,No,17,3,3,80,0,10,4,3,10,4,3,1
30,No,Travel_Rarely,183,Research & Development,7,3,Life Sciences,1,135,3,Female,50,3,1,Manufacturing Director,3,Married,2376,13906,3,Y,No,14,3,4,80,3,9,4,3,0,0,0,0
44,No,Non-Travel,323,Research & Development,4,1,Other,1,136,3,Male,34,1,4,Manager,2,Divorced,12737,22583,3,Y,No,14,3,3,80,0,22,3,2,1,0,1,1
48,No,Travel_Rarely,740,Research & Development,1,2,Other,1,137,2,Female,50,3,4,Research Scientist,4,Single,15141,16088,5,Y,No,18,3,4,80,1,25,1,3,0,0,0,0
53,Yes,Travel_Rarely,1051,Research & Development,3,4,Technical Degree,1,138,4,Male,69,3,3,Research Scientist,1,Married,9401,17290,5,Y,No,13,3,4,80,0,31,2,1,14,11,0,8
46,Yes,Travel_Rarely,1452,Sales,5,2,Medical,1,139,3,Male,69,3,2,Sales Executive,2,Single,2481,23597,2,Y,No,12,4,4,80,3,25,3,2,0,0,0,0
37,No,Travel_Rarely,794,Sales,8,4,Life Sciences,1,140,1,Female,30,2,4,Sales Executive,4,Married,12639,14349,4,Y,Yes,11,3,4,80,2,17,1,3,17,5,1,12
24,Yes,Travel_Frequently,1145,Sales,3,2,Other,1,141,4,Female,30,2,1,Sales Representative,1,Single,2368,18144,2,Y,No,15,4,3,80,2,1,2,3,1,0,1,1
44,Yes,Travel_Rarely,355,Research & Development,7,3,Technical Degree,1,142,3,Male,65,1,1,Research Director,3,Divorced,1809,10133,2,Y,No,18,3,3,80,1,21,3,1,1,0,0,1
